param	estimate	std_err	z	pvalue	feature
(Intercept)	-7.359616262673684	0.13053940367693304	-56.378503772605825	0	45
TimepointPre	-0.4145739561572749	0.07797674241910972	-5.316636003194659	1.0570322239885383e-7	45
ptidV002	-0.785333721619792	0.3413122477009952	-2.3009245255909465	0.02139589755740769	45
ptidV005	1.947902530062161	0.14901470113876467	13.071881600784112	4.7671587967981064e-39	45
ptidV008	0.21435321857666725	0.19786279716145613	1.0833427084413192	0.27865633514455374	45
ptidV012	-0.8659806503648821	0.21831323755358778	-3.9666886903837706	7.287808261625715e-5	45
ptidV019	-3.8755174963837393	1.0081311112387175	-3.8442593956075695	1.2091705355038161e-4	45
ptidV021	0.976450765994149	0.1442748148143993	6.767991816522469	1.3058214052656454e-11	45
ptidV023	-4.281085212391901	1.0082994235083045	-4.245847128917497	2.1776907385441178e-5	45
ptidV029	-0.8381858862918629	0.23124069698876762	-3.624733436660491	2.892596464200248e-4	45
ptidV030	0.7638137564020382	0.14793114583256742	5.1633058887176055	2.4262616779197804e-7	45
(Intercept)	-6.568314869004296	0.09830277560325829	-66.81718627674829	0	326
TimepointPre	-1.545342827439162	0.0842441044853945	-18.343631722111546	3.7115354933183026e-75	326
ptidV002	-1.4570687539698663	0.36687408325634047	-3.9715772262708193	7.139834727831808e-5	326
ptidV005	2.2362974232093955	0.11825053737162532	18.911520175011095	9.167552695534838e-80	326
ptidV008	-2.9932089053931366	0.5855690817910558	-5.111623886011762	3.194012565853111e-7	326
ptidV012	-0.03013181090009669	0.13221983329557652	-0.2278917629001788	0.8197303865041479	326
ptidV019	-1.2224637563130372	0.22260296584716727	-5.491677757574647	3.981333284215157e-8	326
ptidV021	-0.1703280322832699	0.13108619381431025	-1.2993590501570864	0.19382073804730526	326
ptidV023	-2.8360419073994163	0.419926495140011	-6.7536627010254	1.4415867558077068e-11	326
ptidV029	-0.3174425120881277	0.15188781218460276	-2.0899801473360586	0.03661958309607805	326
ptidV030	-0.6237834118837547	0.1506843332131919	-4.1396699881281656	3.478057978397256e-5	326
(Intercept)	-5.661656029708148	0.05986539459131811	-94.57310134441545	0	335
TimepointPre	-0.5265920681569884	0.0713490794153819	-7.3805026283697535	1.5769306380973343e-13	335
ptidV002	-1.2423170690585532	0.18304253704346113	-6.78704026465488	1.1445727356530047e-11	335
ptidV005	-1.5384521741471333	0.18336730503115356	-8.39000264461407	4.861312364297485e-17	335
ptidV008	-2.745667824547223	0.29406705472798567	-9.33687667626347	9.921772790057214e-21	335
ptidV012	-3.428930611209233	0.2829356006340431	-12.119120405934028	8.365208646069329e-34	335
ptidV019	-0.9152306627462216	0.11377065072856037	-8.044523406390846	8.658171169205845e-16	335
ptidV021	-1.7924771694150454	0.12768933041338573	-14.037799114554204	9.151066549327194e-45	335
ptidV023	-2.925376654353369	0.23095055086451466	-12.666679700060634	9.046305637089616e-37	335
ptidV029	-0.8403988083272959	0.10121276584663479	-8.30328863456544	1.0126845436549509e-16	335
ptidV030	-0.9744684552582394	0.09516208862869543	-10.24009108354517	1.3111287822172276e-24	335
(Intercept)	-4.5057594370243885	0.03431102616143223	-131.32103411378432	0	348
TimepointPre	-0.4055031044208439	0.045030409173387326	-9.005094820690495	2.1547952618359135e-19	348
